Date,Open,High,Low,Close,Volume
2008-10-01,711.0,722.0,675.0,698.0,45800.0
2008-10-02,668.0,678.0,645.0,652.0,52800.0
2008-10-03,642.0,642.0,552.0,552.0,78200.0
2008-10-06,557.0,557.0,511.0,532.0,127800.0
2008-10-07,437.0,520.0,437.0,506.0,83200.0
2008-10-08,529.0,530.0,468.0,478.0,73800.0
2008-10-09,493.0,544.0,474.0,533.0,36800.0
2008-10-10,540.0,540.0,456.0,458.0,100700.0
2008-10-14,513.0,520.0,489.0,515.0,23500.0
2008-10-15,525.0,532.0,481.0,512.0,25300.0
2008-10-16,522.0,608.0,498.0,560.0,106300.0
2008-10-17,600.0,615.0,555.0,588.0,33400.0
2008-10-20,600.0,600.0,565.0,598.0,72700.0
2008-10-21,618.0,619.0,585.0,600.0,71300.0
2008-10-22,600.0,600.0,551.0,552.0,32700.0
2008-10-23,555.0,565.0,528.0,565.0,52400.0
2008-10-24,585.0,585.0,536.0,564.0,93400.0
2008-10-27,501.0,550.0,501.0,501.0,33600.0
2008-10-28,561.0,561.0,496.0,502.0,77200.0
2008-10-29,502.0,525.0,487.0,518.0,116600.0
2008-10-30,518.0,555.0,511.0,545.0,55100.0
2008-10-31,525.0,560.0,508.0,512.0,79900.0
2008-11-04,502.0,565.0,502.0,558.0,53500.0
2008-11-05,595.0,597.0,575.0,590.0,74000.0
2008-11-06,584.0,620.0,571.0,610.0,95500.0
2008-11-07,604.0,604.0,570.0,570.0,28100.0
2008-11-10,565.0,598.0,539.0,591.0,67600.0
2008-11-11,581.0,596.0,540.0,585.0,154200.0
2008-11-12,545.0,583.0,522.0,570.0,87100.0
2008-11-13,524.0,556.0,523.0,543.0,28300.0
2008-11-14,531.0,546.0,527.0,546.0,57600.0
2008-11-17,525.0,542.0,515.0,531.0,138100.0
2008-11-18,522.0,568.0,521.0,545.0,57900.0
2008-11-19,545.0,559.0,530.0,538.0,21300.0
2008-11-20,538.0,552.0,513.0,520.0,72400.0
2008-11-21,510.0,528.0,500.0,516.0,126600.0
2008-11-25,510.0,528.0,500.0,516.0,0.0
2008-11-26,506.0,519.0,500.0,500.0,51100.0
2008-11-27,501.0,512.0,500.0,510.0,87300.0
2008-11-28,510.0,550.0,501.0,546.0,96600.0
2008-12-01,560.0,581.0,557.0,581.0,126900.0
